Title,video_url
"Trump rejects 2nd Harris debate, earthquake rattles 
Southern California and more | The Daily Report",https://www.youtube.com/watch?v=Alljw46hEwc
Trump says he won't debate Harris a second time,https://www.youtube.com/watch?v=U_-TvkO6bwU
Full Debate: Harris vs. Trump in 2024 Presidential Debate | WSJ,https://www.youtube.com/watch?v=VgsC_aBquUE
"Highlights from the Trump-Harris presidential debate
",https://www.youtube.com/watch?v=OQgE0ETV81s&t=28s
LIVE: Donald Trump speaks after presidential debate in Arizona,https://www.youtube.com/watch?v=DpwKAJHW6Fw
US Presidential Debate 2024: Top Highlights | Kamala Harris Vs Donald Trump | Best 9 Minutes,https://www.youtube.com/watch?v=npgogT5ir4M
Harris v Trump: highlights of the US presidential election debate,https://www.youtube.com/watch?v=2ec4Oa2L1fo
FULL VIDEO | 2024 Presidential Debate from ABC News,https://www.youtube.com/watch?v=GdSDngmDLmY
Donald Trump says no more Kamala Harris debates | BBC News,https://www.youtube.com/watch?v=PcpDgW-5y7Y
Undecided Arizona voters react to presidential debate,https://www.youtube.com/watch?v=cx513tYb5EI
BREAKING NEWS: Trump Absolutely Unloads On ABC Over Presidential Debate With Kamala Harris,https://www.youtube.com/watch?v=vCwqmlwJbmM
"Voters react to presidential debate between Harris, Trump",https://www.youtube.com/watch?v=fr3Vhnzc8Ek
What did voters make of Harris-Trump debate? | US Election 2024,https://www.youtube.com/watch?v=qlAO3Ohw3gQ
Pennsylvania voters react to the Trump and Harris debate,https://www.youtube.com/watch?v=z67WCP8u7Yk
Highlights from fiery presidential debate between Harris and Trump,https://www.youtube.com/watch?v=phUidOHYWsg
Undecided voters grade the presidential debate,https://www.youtube.com/watch?v=0YB-M3rO78k
"Trump and Harris clash in pivotal debate: Inflation, immigration, and a fiery exchange",https://www.youtube.com/watch?v=CapNSd621WI
Lawmakers react to presidential debate,https://www.youtube.com/watch?v=qX8u5uw2lek
Presidential debate Harris or Trump—who won?,https://www.youtube.com/watch?v=P0IaOVRL-EM
Debate analysis: Will undecided voters be swayed for Trump or Harris?,https://www.youtube.com/watch?v=g_w4SkxXT8Q
Body language expert breaks down presidential debate,https://www.youtube.com/watch?v=Lys1JxKuTjs
"US election 2024: Harris accepts CNN invite to 2nd debate, Trump says it's “too lat",https://www.youtube.com/watch?v=Zn2ASIOHzzg
"2024 presidential race: Polls show tight race between Trump, Harris",https://www.youtube.com/watch?v=wh2txoPfUS4